rank,image,area_ratio,width,height
1,img_002005.jpg,1.0000,1.0000,1.0000
2,img_002014_e2.jpg,1.0000,1.0000,1.0000
3,img_002076.jpg,1.0000,1.0000,1.0000
4,img_002076_e2.jpg,1.0000,1.0000,1.0000
5,img_002203.jpg,1.0000,1.0000,1.0000
6,img_002207_e2.jpg,1.0000,1.0000,1.0000
7,img_002228.jpg,1.0000,1.0000,1.0000
8,img_002228_e2.jpg,1.0000,1.0000,1.0000
9,img_002252_e2.jpg,1.0000,1.0000,1.0000
10,img_002341.jpg,1.0000,1.0000,1.0000
11,img_002341_e2.jpg,1.0000,1.0000,1.0000
12,img_002354_e2.jpg,1.0000,1.0000,1.0000
13,img_002181_e2.jpg,0.9977,1.0000,0.9977
14,img_002207.jpg,0.9975,0.9975,1.0000
15,img_002252.jpg,0.9948,0.9964,0.9984
16,img_002108_e2.jpg,0.9843,1.0000,0.9843
17,img_001931.jpg,0.9809,0.9929,0.9879
18,img_001931_e2.jpg,0.9809,0.9929,0.9879
19,img_002155.jpg,0.9747,0.9960,0.9786
20,img_002155_e2.jpg,0.9747,0.9960,0.9786
