rank,image,cosine_similarity
1,img_002274.jpg,0.499310
2,img_002274_e2.jpg,0.474251
3,img_002103.jpg,0.467498
4,img_002103_e2.jpg,0.464677
5,img_002154_e2.jpg,0.458803
6,img_002116.jpg,0.458770
7,img_001931_e2.jpg,0.453663
8,img_002220.jpg,0.453226
9,img_002338_e2.jpg,0.452886
10,img_002118.jpg,0.451824
11,img_001911.jpg,0.449896
12,img_001948.jpg,0.449434
13,img_002137.jpg,0.449120
14,img_002266.jpg,0.448338
15,img_002154.jpg,0.446965
16,img_001911_e2.jpg,0.445704
17,img_002118_e2.jpg,0.445644
18,img_002220_e2.jpg,0.445322
19,img_002384.jpg,0.443508
20,img_001931.jpg,0.443267
