rank,image,geometry_distance,gt_area,gt_width,gt_height,gt_aspect,prediction_class,prediction_confidence,prediction_iou,num_predictions
1,img_001952.jpg,0.12559393223870097,0.17363107971999994,0.45331999999999995,0.3830209999999999,1.578050985890243,plastic,0.7519007921218872,0.9233548972777497,4
2,img_001952_e2.jpg,0.12559393223870097,0.17363107971999994,0.45331999999999995,0.3830209999999999,1.578050985890243,glass,0.005696532782167196,0.8822095971003842,4
3,img_002358.jpg,0.1401225893657049,0.2623590297509999,0.547383,0.47929699999999986,1.5227385107772429,glass,0.011720400303602219,0.9519220795969684,2
4,img_002143_e2.jpg,0.1406615733907714,0.22706120084700002,0.49003299999999994,0.4633590000000001,1.4100887936423663,glass,0.09741471707820892,0.920259363224842,3
5,img_002131_e2.jpg,0.14101022902927904,0.23505666206,0.531628,0.442145,1.6031784444771133,plastic,0.592970609664917,0.6058286299033416,2
6,img_002328.jpg,0.14198037831941707,0.27836682419599995,0.555547,0.501068,1.478301015697138,glass,0.25306645035743713,0.9073980567165297,3
7,img_001943_e2.jpg,0.14556301511144643,0.25188327956000006,0.5483830000000001,0.4593200000000001,1.59186913988795,plastic,0.25500091910362244,0.7377748665784976,3
8,img_002307_e2.jpg,0.14581719450149608,0.179102466468,0.482127,0.371484,1.7304540707002185,plastic,0.7189237475395203,0.5820134918146105,2
9,img_002006.jpg,0.15368567353812862,0.27930236231700006,0.574863,0.48585900000000004,1.577585266507361,glass,0.008505272679030895,0.8152665281562962,2
10,img_002006_e2.jpg,0.15368567353812862,0.27930236231700006,0.574863,0.48585900000000004,1.577585266507361,glass,0.010608467273414135,0.8031854478915481,2
11,img_002303_e2.jpg,0.15543448458202194,0.2890666827900001,0.5822100000000001,0.496499,1.5635076807808277,plastic,0.12390490621328354,0.8410129166748446,3
12,img_001943.jpg,0.15648721467931914,0.29606434436199996,0.5674220000000001,0.5217709999999999,1.4499898742296273,plastic,0.4162324070930481,0.6779833551251807,2
13,img_002094.jpg,0.15884767282634502,0.258759891045,0.569355,0.454479,1.6703522054924431,plastic,0.6174513697624207,0.9132595616419827,2
14,img_002094_e2.jpg,0.15884767282634502,0.258759891045,0.569355,0.454479,1.6703522054924431,plastic,0.4341391324996948,0.9180323768825688,3
15,img_002380.jpg,0.1604037209561869,0.077421963444,0.29033200000000003,0.266667,1.4516581854272685,plastic,0.4423102140426636,0.8324937607582719,8
16,img_002380_e2.jpg,0.1604037209561869,0.077421963444,0.29033200000000003,0.266667,1.4516581854272685,plastic,0.17967753112316132,0.8365218620401402,9
17,img_002007.jpg,0.1620847797425156,0.32305112729,0.59623,0.5418229999999999,1.4672196147696452,glass,0.01291506178677082,0.8995665397389069,2
18,img_002007_e2.jpg,0.1620847797425156,0.32305112729,0.59623,0.5418229999999999,1.4672196147696452,glass,0.014125753194093704,0.8943028705066112,2
19,img_002257.jpg,0.1627858807819241,0.24600462282000002,0.56502,0.4353910000000001,1.7303067817203384,glass,0.3544090688228607,0.9373381915644808,2
20,img_002061.jpg,0.16301982813347327,0.33388317987,0.6109370000000001,0.5465099999999999,1.4905174043780844,glass,0.02160738781094551,0.943469169379751,3
